"disease","metabolite","chemical_taxonomy"
"Pregnancy","estriol-16-glucuronide","Lipids and lipid-like molecules"
"Pregnancy","pc(14:0/18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(14:0/18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(14:0/18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(14:0/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(14:0/18:3(6z,9z,12z))","None"
"Pregnancy","pc(14:0/18:3(9z,12z,15z))","None"
"Pregnancy","pc(14:0/20:1(11z))","None"
"Pregnancy","pc(14:0/20:2(11z,14z))","None"
"Pregnancy","pc(14:0/20:3(5z,8z,11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(14:0/20:3(8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(14:0/20:4(5z,8z,11z,14z))","None"
"Pregnancy","pc(14:0/20:4(8z,11z,14z,17z))","None"
"Pregnancy","pc(14:0/22:1(13z))","None"
"Pregnancy","pc(14:0/22:2(13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(14:0/22:4(7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(14:0/22:5(4z,7z,10z,13z,16z))","None"
"Pregnancy","pc(14:0/22:6(4z,7z,10z,13z,16z,19z))","None"
"Pregnancy","pc(14:0/24:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(14:0/24:1(15z))","None"
"Pregnancy","pc(14:0/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(14:0/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(14:0/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(14:1(9z)/14:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(14:1(9z)/16:1(9z))","None"
"Pregnancy","pc(14:1(9z)/18:0)","None"
"Pregnancy","pc(14:1(9z)/18:2(9z,12z))","None"
"Pregnancy","pc(14:1(9z)/20:0)","None"
"Pregnancy","pc(14:1(9z)/20:1(11z))","None"
"Pregnancy","pc(14:1(9z)/20:2(11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(14:1(9z)/20:3(5z,8z,11z))","None"
"Pregnancy","pc(14:1(9z)/20:3(8z,11z,14z))","None"
"Pregnancy","pc(14:1(9z)/22:0)","None"
"Pregnancy","pc(14:1(9z)/22:1(13z))","Lipids and lipid-like molecules"
"Pregnancy","pc(14:1(9z)/22:2(13z,16z))","None"
"Pregnancy","pc(14:1(9z)/22:5(4z,7z,10z,13z,16z))","None"
"Pregnancy","pc(14:1(9z)/22:5(7z,10z,13z,16z,19z))","None"
"Pregnancy","pc(14:1(9z)/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/16:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/18:1(11z))","None"
"Pregnancy","pc(16:0/18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/18:3(6z,9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/18:3(9z,12z,15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/18:4(6z,9z,12z,15z))","None"
"Pregnancy","pc(16:0/20:1(11z))","None"
"Pregnancy","pc(16:0/20:2(11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/20:3(5z,8z,11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/20:3(8z,11z,14z))","None"
"Pregnancy","pc(16:0/20:4(5z,8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/20:4(8z,11z,14z,17z))","None"
"Pregnancy","pc(16:0/22:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/22:4(7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/22:5(4z,7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/22:5(7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/22:6(4z,7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:0/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:1(9z)/14:1(9z))","None"
"Pregnancy","pc(16:1(9z)/16:0)","None"
"Pregnancy","pc(16:1(9z)/18:0)","None"
"Pregnancy","pc(16:1(9z)/18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:1(9z)/18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:1(9z)/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:1(9z)/18:3(6z,9z,12z))","None"
"Pregnancy","pc(16:1(9z)/18:3(9z,12z,15z))","None"
"Pregnancy","pc(16:1(9z)/20:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(16:1(9z)/20:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:1(9z)/20:2(11z,14z))","None"
"Pregnancy","pc(16:1(9z)/20:3(5z,8z,11z))","None"
"Pregnancy","pc(16:1(9z)/20:3(8z,11z,14z))","None"
"Pregnancy","pc(16:1(9z)/20:5(5z,8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:1(9z)/22:2(13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:1(9z)/22:4(7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(16:1(9z)/22:5(4z,7z,10z,13z,16z))","None"
"Pregnancy","pc(16:1(9z)/22:5(7z,10z,13z,16z,19z))","None"
"Pregnancy","pc(16:1(9z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(16:1(9z)/p-18:0)","None"
"Pregnancy","pc(16:1(9z)/p-18:1(11z))","None"
"Pregnancy","pc(16:1(9z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:0/14:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:0/14:1(9z))","None"
"Pregnancy","pc(18:0/16:1(9z))","None"
"Pregnancy","pc(18:0/18:1(11z))","None"
"Pregnancy","pc(18:0/18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:0/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:0/18:3(6z,9z,12z))","None"
"Pregnancy","pc(18:0/18:3(9z,12z,15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:0/18:4(6z,9z,12z,15z))","None"
"Pregnancy","pc(18:0/20:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:0/20:3(5z,8z,11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:0/20:3(8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:0/20:4(5z,8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:0/20:4(8z,11z,14z,17z))","None"
"Pregnancy","pc(18:0/20:5(5z,8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:0/22:4(7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:0/22:6(4z,7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:0/24:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:0/24:1(15z))","None"
"Pregnancy","pc(18:0/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:0/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/14:0)","None"
"Pregnancy","pc(18:1(11z)/16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/16:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/18:3(6z,9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/18:3(9z,12z,15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/20:2(11z,14z))","None"
"Pregnancy","pc(18:1(11z)/20:3(5z,8z,11z))","None"
"Pregnancy","pc(18:1(11z)/20:3(8z,11z,14z))","None"
"Pregnancy","pc(18:1(11z)/20:4(5z,8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/20:5(5z,8z,11z,14z,17z))","None"
"Pregnancy","pc(18:1(11z)/22:5(4z,7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/22:5(7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/24:1(15z))","None"
"Pregnancy","pc(18:1(11z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(11z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/14:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/16:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/18:3(6z,9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/18:3(9z,12z,15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/20:2(11z,14z))","None"
"Pregnancy","pc(18:1(9z)/20:3(5z,8z,11z))","None"
"Pregnancy","pc(18:1(9z)/20:3(8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/20:4(5z,8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/20:5(5z,8z,11z,14z,17z))","None"
"Pregnancy","pc(18:1(9z)/22:5(4z,7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/22:5(7z,10z,13z,16z,19z))","None"
"Pregnancy","pc(18:1(9z)/24:1(15z))","None"
"Pregnancy","pc(18:1(9z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/p-18:1(9z))","None"
"Pregnancy","pc(18:2(9z,12z)/14:1(9z))","None"
"Pregnancy","pc(18:2(9z,12z)/16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:2(9z,12z)/16:1(9z))","None"
"Pregnancy","pc(18:2(9z,12z)/18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:2(9z,12z)/18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:2(9z,12z)/18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:2(9z,12z)/18:2(9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:2(9z,12z)/20:3(5z,8z,11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:2(9z,12z)/18:4(6z,9z,12z,15z))","None"
"Pregnancy","pc(18:2(9z,12z)/20:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:2(9z,12z)/20:2(11z,14z))","None"
"Pregnancy","pc(18:2(9z,12z)/20:3(8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:2(9z,12z)/20:4(5z,8z,11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:2(9z,12z)/20:4(8z,11z,14z,17z))","None"
"Pregnancy","pc(18:2(9z,12z)/22:4(7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:2(9z,12z)/24:0)","None"
"Pregnancy","pc(18:2(9z,12z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:2(9z,12z)/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:2(9z,12z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:2(9z,12z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(6z,9z,12z)/14:0)","None"
"Pregnancy","pc(18:3(6z,9z,12z)/16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(6z,9z,12z)/16:1(9z))","None"
"Pregnancy","pc(18:3(6z,9z,12z)/18:0)","None"
"Pregnancy","pc(18:3(6z,9z,12z)/18:1(11z))","None"
"Pregnancy","pc(18:3(6z,9z,12z)/18:1(9z))","None"
"Pregnancy","pc(18:3(6z,9z,12z)/18:3(6z,9z,12z))","None"
"Pregnancy","pc(18:3(6z,9z,12z)/18:3(9z,12z,15z))","None"
"Pregnancy","pc(18:3(6z,9z,12z)/20:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(6z,9z,12z)/20:1(11z))","None"
"Pregnancy","pc(18:3(6z,9z,12z)/20:2(11z,14z))","None"
"Pregnancy","pc(18:3(6z,9z,12z)/20:3(5z,8z,11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(6z,9z,12z)/20:3(8z,11z,14z))","None"
"Pregnancy","pc(18:3(6z,9z,12z)/24:1(15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(6z,9z,12z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(6z,9z,12z)/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(6z,9z,12z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(6z,9z,12z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(9z,12z,15z)/14:0)","None"
"Pregnancy","pc(18:3(9z,12z,15z)/16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(9z,12z,15z)/16:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(9z,12z,15z)/18:0)","None"
"Pregnancy","pc(18:3(9z,12z,15z)/18:1(11z))","None"
"Pregnancy","pc(18:3(9z,12z,15z)/18:1(9z))","None"
"Pregnancy","pc(18:3(9z,12z,15z)/18:3(6z,9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(9z,12z,15z)/18:3(9z,12z,15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(9z,12z,15z)/20:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(9z,12z,15z)/20:1(11z))","None"
"Pregnancy","pc(18:3(9z,12z,15z)/20:2(11z,14z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(9z,12z,15z)/20:3(5z,8z,11z))","None"
"Pregnancy","pc(18:3(9z,12z,15z)/20:3(8z,11z,14z))","None"
"Pregnancy","pc(18:3(9z,12z,15z)/24:1(15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(9z,12z,15z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(9z,12z,15z)/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(9z,12z,15z)/p-18:1(11z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:3(9z,12z,15z)/p-18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:4(6z,9z,12z,15z)/16:0)","None"
"Pregnancy","pc(18:4(6z,9z,12z,15z)/18:0)","None"
"Pregnancy","pc(18:4(6z,9z,12z,15z)/18:2(9z,12z))","None"
"Pregnancy","pc(18:4(6z,9z,12z,15z)/20:0)","None"
"Pregnancy","pc(18:4(6z,9z,12z,15z)/20:1(11z))","None"
"Pregnancy","pc(18:4(6z,9z,12z,15z)/20:2(11z,14z))","None"
"Pregnancy","pc(18:4(6z,9z,12z,15z)/22:2(13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(18:4(6z,9z,12z,15z)/24:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:4(6z,9z,12z,15z)/24:1(15z))","None"
"Pregnancy","pc(18:4(6z,9z,12z,15z)/p-16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:4(6z,9z,12z,15z)/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:0/14:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:0/16:1(9z))","None"
"Pregnancy","pc(20:0/18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:0/18:3(6z,9z,12z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:0/18:3(9z,12z,15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:0/18:4(6z,9z,12z,15z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:0/22:2(13z,16z))","None"
"Pregnancy","pc(20:0/22:4(7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:0/22:6(4z,7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:0/p-18:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:1(11z)/14:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(20:1(11z)/14:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","pc(20:1(11z)/16:0)","None"
"Pregnancy","pc(20:1(11z)/16:1(9z))","Lipids and lipid-like molecules"
